,Name,Category,City,Area,Group
0,Moby's Coffee & Tea Company,Coffee Shop,North Hollywood,North Hollywood - Valley Village,3
1,Movement Lifestyle Studio,Dance Studio,North Hollywood,North Hollywood - Valley Village,3
2,Iliad Bookshop,Bookstore,North Hollywood,North Hollywood - Valley Village,3
3,Frends Beauty,Cosmetics Shop,Valley Village,North Hollywood - Valley Village,3
4,Cardio Barre,Gym / Fitness Center,Valley Village,North Hollywood - Valley Village,3
5,Val Surf,Board Shop,Valley Village,North Hollywood - Valley Village,3
6,Aquarium City,Pet Store,Canoga Park,Canoga Park - Winnetka - Woodland Hills - West Hills,3
7,Pastries By Edie,Café,Canoga Park,Canoga Park - Winnetka - Woodland Hills - West Hills,3
8,Pho 21,Asian Restaurant,Canoga Park,Canoga Park - Winnetka - Woodland Hills - West Hills,3
9,Brent's Deli,Deli / Bodega,Winnetk,Canoga Park - Winnetka - Woodland Hills - West Hills,3
10,Nordstrom,Women's Store,Winnetk,Canoga Park - Winnetka - Woodland Hills - West Hills,3
11,PizzaRev,Pizza Place,Winnetk,Canoga Park - Winnetka - Woodland Hills - West Hills,3
12,Topanga Canyon Hills,Scenic Lookout,Woodland Hills,Canoga Park - Winnetka - Woodland Hills - West Hills,3
13,Gelson's Market,Supermarket,Woodland Hills,Canoga Park - Winnetka - Woodland Hills - West Hills,3
14,Calabasas Farmer's Market,Farmers Market,Woodland Hills,Canoga Park - Winnetka - Woodland Hills - West Hills,3
15,El Pollo Amigo,Mexican Restaurant,West Hills,Canoga Park - Winnetka - Woodland Hills - West Hills,3
16,Yozen Frogurt,Ice Cream Shop,West Hills,Canoga Park - Winnetka - Woodland Hills - West Hills,3
17,Starbucks,Coffee Shop,West Hills,Canoga Park - Winnetka - Woodland Hills - West Hills,3
18,Softline Solutions,Office,Sun Valley,Sun Valley - La Tuna Canyon,2
19,786 Degrees Wood Fired Pizza Co.,Pizza Place,Sun Valley,Sun Valley - La Tuna Canyon,2
20,In-N-Out Burger,Fast Food Restaurant,Sun Valley,Sun Valley - La Tuna Canyon,2
21,Old Time Drive In,American Restaurant,La Tuna Canyon,Sun Valley - La Tuna Canyon,2
22,Grocery Outlet,Grocery Store,La Tuna Canyon,Sun Valley - La Tuna Canyon,2
23,Rise N Shine Café,Breakfast Spot,La Tuna Canyon,Sun Valley - La Tuna Canyon,2
24,Long Beach Creamery,Ice Cream Shop,Wilmington,Wilmington - Harbor City,2
25,555 East American Steakhouse,Steakhouse,Wilmington,Wilmington - Harbor City,2
26,Shoreline Park,Park,Wilmington,Wilmington - Harbor City,2
27,Cliffs of Palos Verdes,Scenic Lookout,Harbor City,Wilmington - Harbor City,2
28,La Española Meats,Spanish Restaurant,Harbor City,Wilmington - Harbor City,2
29,California Harley-Davidson,Motorcycle Shop,Harbor City,Wilmington - Harbor City,2
30,In-N-Out Burger,Fast Food Restaurant,Mission Hills,Mission Hills - Panorama City - North Hills,2
31,La Michoacana,Snack Place,Mission Hills,Mission Hills - Panorama City - North Hills,2
32,Rite Aid,Pharmacy,Mission Hills,Mission Hills - Panorama City - North Hills,2
33,In-N-Out Burger,Fast Food Restaurant,Panorama City,Mission Hills - Panorama City - North Hills,2
34,LA Kings Valley Ice Center,Skating Rink,Panorama City,Mission Hills - Panorama City - North Hills,2
35,Rincon Taurino,Mexican Restaurant,Panorama City,Mission Hills - Panorama City - North Hills,2
36,LA Kings Valley Ice Center,Skating Rink,North Hills,Mission Hills - Panorama City - North Hills,2
37,Stinking Crawfish,Seafood Restaurant,North Hills,Mission Hills - Panorama City - North Hills,2
38,Kountry Folks Restaurant,American Restaurant,North Hills,Mission Hills - Panorama City - North Hills,2
39,Vista Hermosa Park,Park,Westlake,Westlake,2
40,The Theatre at the Ace,Theater,Westlake,Westlake,2
41,Whole Foods Market,Grocery Store,Westlake,Westlake,2
42,Ramirez Beverage Center,Liquor Store,Boyle Heights,Boyle Heights,2
43,Guisados,Taco Place,Boyle Heights,Boyle Heights,2
44,Mariscos 4 Vientos Taco Truck,Food Truck,Boyle Heights,Boyle Heights,2
45,Valero,Gas Station,Sun Village,Sun Village,2
46,AV Comfort Specialist,Construction & Landscaping,Sun Village,Sun Village,2
47,Joshua Liquor,Liquor Store,Sun Village,Sun Village,2
48,FurnSaj Bakery,Middle Eastern Restaurant,Granada Hills,Granada Hills - Knollwood,3
49,The Granada Hills Gourmet Food Trucks Explosion (Food Trucks Row),Food Truck,Granada Hills,Granada Hills - Knollwood,3
50,Trader Joe's,Grocery Store,Granada Hills,Granada Hills - Knollwood,3
51,Yogurtland,Frozen Yogurt Shop,Resed,Reseda - West Van Nuys,3
52,Vinh Loi Tofu,Vietnamese Restaurant,Resed,Reseda - West Van Nuys,3
53,Fab Hot Dogs,Hot Dog Joint,Resed,Reseda - West Van Nuys,3
54,Nanbankan,Japanese Restaurant,West Los Angeles,West Los Angeles,1
55,Nuart Theater,Indie Movie Theater,West Los Angeles,West Los Angeles,1
56,The Bombay Frankie Company,North Indian Restaurant,West Los Angeles,West Los Angeles,1
57,El Pollo Loco,Fast Food Restaurant,South Los Angeles,South Los Angeles,2
58,Imperial Fish Market,Seafood Restaurant,South Los Angeles,South Los Angeles,2
59,Jack in the Box,Fast Food Restaurant,South Los Angeles,South Los Angeles,2
60,Veterans Memorial Park,Park,Sylmar,Sylmar,2
61,El Cariso Community Regional Park,Park,Sylmar,Sylmar,2
62,Nethercutt Collection & Museum,Museum,Sylmar,Sylmar,2
63,Hansen Dam,Trail,Pacoim,Arleta - Pacoima,2
64,Wong's Kitchen,Chinese Restaurant,Pacoim,Arleta - Pacoima,2
65,Pet Supreme,Pet Store,Pacoim,Arleta - Pacoima,2
66,Blue Bottle Coffee,Coffee Shop,Palms,Palms - Mar Vista - Del Rey,3
67,Queen Bee Salon & Spa,Salon / Barbershop,Palms,Palms - Mar Vista - Del Rey,3
68,Roberta’s,Pizza Place,Palms,Palms - Mar Vista - Del Rey,3
69,Superba Food + Bread,New American Restaurant,Mar Vist,Palms - Mar Vista - Del Rey,3
70,accomplice bar,Bar,Mar Vist,Palms - Mar Vista - Del Rey,3
71,Clover Park,Park,Mar Vist,Palms - Mar Vista - Del Rey,3
72,Me-n-Ed's,Pizza Place,Del Rey,Palms - Mar Vista - Del Rey,3
73,Tea Garden Restaurant,Chinese Restaurant,Del Rey,Palms - Mar Vista - Del Rey,3
74,Cristal Bakery,Bakery,Del Rey,Palms - Mar Vista - Del Rey,3
75,Salt & Straw,Ice Cream Shop,Venice,Venice,1
76,South Santa Monica Beach,Beach,Venice,Venice,1
77,Ocean Park Beach,Beach,Venice,Venice,1
78,Post & Beam,New American Restaurant,Baldwin Hills,West Adams - Baldwin Hills - Leimert,2
79,Leimert Plaza Park,Park,Baldwin Hills,West Adams - Baldwin Hills - Leimert,2
80,Krispy Kreme Doughnuts,Donut Shop,Baldwin Hills,West Adams - Baldwin Hills - Leimert,2
81,Moonstone Beach,Beach,Leimert,West Adams - Baldwin Hills - Leimert,2
82,Moonstone Beach Boardwalk,Trail,Leimert,West Adams - Baldwin Hills - Leimert,2
83,Sandys Deli Bakery,Deli / Bodega,Leimert,West Adams - Baldwin Hills - Leimert,2
84,Brouwerij West,Brewery,San Pedro,San Pedro,3
85,Busy Bee Market,Sandwich Place,San Pedro,San Pedro,3
86,Point Fermin Park,Park,San Pedro,San Pedro,3
87,MacLeod Ale Brewing Co.,Brewery,Van Nuys,Van Nuys - North Sherman Oaks,3
88,Phở Sô 1,Vietnamese Restaurant,Van Nuys,Van Nuys - North Sherman Oaks,3
89,Nat's Early Bite Coffee Shop,Diner,Van Nuys,Van Nuys - North Sherman Oaks,3
90,Mendocino Farms,Sandwich Place,Sherman Oaks,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
91,Burke Williams Spa,Spa,Sherman Oaks,Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass,1
