,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,state,property_valuation,age,bike_purchases
0,Female,93,Health,Mass Customer,Yes,11.0,NSW,10,66.0,11
1,Male,81,Financial Services,Mass Customer,Yes,16.0,NSW,10,39.0,3
2,Male,33,IT,Mass Customer,No,7.0,QLD,9,58.0,2
3,Female,56,N/A,Affluent Customer,Yes,8.0,NSW,4,43.0,6
4,Male,35,Retail,High Net Worth,Yes,13.0,VIC,9,53.0,5
5,Female,6,Financial Services,Affluent Customer,Yes,11.0,NSW,9,44.0,3
6,Male,31,N/A,Mass Customer,No,7.0,NSW,4,58.0,10
7,Female,97,Argiculture,Affluent Customer,Yes,8.0,NSW,12,47.0,6
8,Male,99,Property,Mass Customer,No,9.0,VIC,8,66.0,6
9,Male,58,Manufacturing,Mass Customer,No,8.0,QLD,4,26.0,7
10,Male,38,Financial Services,High Net Worth,Yes,8.0,VIC,6,65.0,7
11,Female,85,Financial Services,Affluent Customer,No,6.0,NSW,8,37.0,3
12,Male,91,Manufacturing,Mass Customer,No,1.0,NSW,9,20.0,6
13,Male,38,N/A,Mass Customer,Yes,18.0,VIC,4,43.0,5
14,Male,57,N/A,Affluent Customer,Yes,15.0,VIC,9,58.0,5
15,Female,79,N/A,Affluent Customer,No,11.0,NSW,12,53.0,7
16,Female,76,Manufacturing,High Net Worth,No,1.0,NSW,9,19.0,3
17,Male,72,Manufacturing,Mass Customer,No,11.0,NSW,8,40.0,4
18,Male,74,Manufacturing,Affluent Customer,Yes,16.0,NSW,7,39.0,5
19,Female,55,Argiculture,Mass Customer,Yes,15.0,NSW,10,42.0,7
20,Male,72,Financial Services,Mass Customer,Yes,21.0,QLD,3,43.0,12
21,Female,12,Financial Services,Mass Customer,Yes,16.0,QLD,5,42.0,2
22,Male,37,Health,Mass Customer,Yes,12.0,VIC,7,41.0,7
23,Male,5,Health,Affluent Customer,Yes,21.0,QLD,4,46.0,6
24,Female,62,Manufacturing,Mass Customer,No,19.0,QLD,7,52.0,9
25,Male,18,IT,Affluent Customer,Yes,6.0,NSW,11,58.0,3
26,Female,3,Telecommunications,High Net Worth,Yes,14.0,NSW,12,57.0,4
27,Female,17,Manufacturing,Affluent Customer,No,4.0,NSW,9,25.0,7
28,Male,44,N/A,Affluent Customer,Yes,11.0,NSW,9,63.0,7
29,Female,40,Health,High Net Worth,Yes,16.0,QLD,6,56.0,4
30,Female,33,N/A,Affluent Customer,No,22.0,NSW,8,42.0,2
31,Female,46,Health,High Net Worth,No,16.0,QLD,1,34.0,9
32,Female,37,Financial Services,Affluent Customer,No,20.0,QLD,4,64.0,4
33,Male,5,Entertainment,Mass Customer,No,22.0,NSW,10,41.0,12
34,Female,91,Manufacturing,Affluent Customer,No,14.0,NSW,8,38.0,6
35,Male,64,Health,Mass Customer,No,16.0,VIC,9,44.0,9
36,Female,24,Manufacturing,Mass Customer,No,18.0,VIC,10,43.0,4
37,Female,38,Retail,Mass Customer,No,5.0,QLD,8,37.0,9
38,Male,63,Entertainment,Affluent Customer,Yes,17.0,QLD,2,38.0,7
39,Male,64,Financial Services,Mass Customer,No,8.0,NSW,3,44.0,3
40,Female,98,N/A,Affluent Customer,Yes,15.0,VIC,6,48.0,5
41,Male,51,Health,Affluent Customer,No,2.0,NSW,4,27.0,7
